Date,Average temperature F ,HDD,CDD,Precipitation (Inches),Average daily MLP price,Humidity,Wind Speed (mph)
3-Apr-05,47.5,32.5,0,0,28.2,54.5,6.5
4-Apr-05,52,28,0,0,39.1,48,7
5-Apr-05,61.5,18.5,0,0,36.1,61,11.5
6-Apr-05,62.5,17.5,0,0.02,33.2,61,7
7-Apr-05,47.5,32.5,0,0.01,29.7,65,16
8-Apr-05,48.5,31.5,0,0,33.9,57,7
9-Apr-05,51.5,28.5,0,0,31.2,53.5,7
10-Apr-05,61.5,18.5,0,0,30.2,51.5,8.5
11-Apr-05,64.5,15.5,0,0,52.9,31.5,18
12-Apr-05,48,32,0,0.63,39.3,62,13
13-Apr-05,46.5,33.5,0,0,43.3,45,16
14-Apr-05,47,33,0,0,37.8,40,9.5
15-Apr-05,48,32,0,0,34.5,51.5,6.5
16-Apr-05,55.5,24.5,0,0,37.7,51.5,6.5
17-Apr-05,61.5,18.5,0,0.02,30.6,58,6
18-Apr-05,64,16,0,0,47.2,56.5,6.5
19-Apr-05,70.5,9.5,0,0,47.7,42.5,13
20-Apr-05,56.5,23.5,0,0,44.2,67,15
21-Apr-05,49.5,30.5,0,0,51.5,49.5,9.5
22-Apr-05,42,38,0,0.67,58.2,83,17
23-Apr-05,38.5,41.5,0,0,37,65.5,15.5
24-Apr-05,43.5,36.5,0,0,32.1,46.5,17
25-Apr-05,53,27,0,0,36,50,16.5
26-Apr-05,50,30,0,0,45.3,60,14
27-Apr-05,47.5,32.5,0,0,49.8,57,14.5
28-Apr-05,47.5,32.5,0,0,49.9,54.5,8
29-Apr-05,46,34,0,0,37.2,47.5,9
30-Apr-05,46,34,0,0,31.5,57.5,11
1-May-05,42,38,0,0,27.5,56,13
2-May-05,39.5,40.5,0,0,38.3,57.5,12.5
3-May-05,42.5,37.5,0,0,38.9,49.5,12
4-May-05,47.5,32.5,0,0,37.2,45,7
5-May-05,54,26,0,0,32.1,40,8
6-May-05,63,17,0,0.03,43.8,60.5,10
7-May-05,52.5,27.5,0,0,27.8,71.5,8.5
8-May-05,64,16,0,0,19.9,57.5,7.5
9-May-05,69.5,10.5,0,0.15,41.7,65,15
10-May-05,71,9,0,0,51.7,60,13.5
11-May-05,53.5,26.5,0,0.3,45.8,76.5,17
12-May-05,48.5,31.5,0,0.07,37.7,66.5,16.5
13-May-05,61,19,0,0,31.4,72,10
14-May-05,55.5,24.5,0,0.06,30.5,71.5,18
15-May-05,47.5,32.5,0,0,21,69.5,8.5
16-May-05,52,28,0,0,25.5,58,7.5
17-May-05,60,20,0,0,38.5,53.5,10
18-May-05,66,14,0,0,43.4,48,15
19-May-05,61.5,18.5,0,1.27,41.7,78,7.5
20-May-05,57.5,22.5,0,0,32.1,68,12.5
21-May-05,58,22,0,0,25.4,61.5,6
22-May-05,68.5,11.5,0,0,24.5,49,13
23-May-05,61,19,0,0,46.1,64,14
24-May-05,57,23,0,0,31.7,69,12
25-May-05,58,22,0,0,28.3,62.5,7
26-May-05,65.5,14.5,0,0,32.8,51.5,10
27-May-05,59,21,0,0.1,33.2,63,18.5
28-May-05,58,22,0,0.01,23.7,65,12.5
29-May-05,56.5,23.5,0,0,22.6,64.5,7.5
30-May-05,60,20,0,0,19.3,67.5,8.5
31-May-05,59,21,0,0,45.3,71,7.5
1-Jun-05,65,15,0,0,30.9,62.5,10
2-Jun-05,66,14,0,0.01,29.7,69.5,11
3-Jun-05,66.5,13.5,0,0,33.8,84,9
4-Jun-05,71.5,8.5,0,0.39,35.4,75.5,17.5
5-Jun-05,77.5,2.5,0,0.01,52,59,11.5
6-Jun-05,77.5,2.5,0,0,47.2,53.5,11.5
7-Jun-05,76.5,3.5,0,0.02,54.3,65.5,9
8-Jun-05,77.5,2.5,0,0.24,54.9,65,9
9-Jun-05,76.5,3.5,0,0,63.8,66,7
10-Jun-05,77.5,2.5,0,0.02,71.9,71.5,13
11-Jun-05,80,0,0,0,41.9,68.5,12.5
12-Jun-05,75,5,0,0,27.1,72,9
13-Jun-05,78,2,0,0.02,43.8,66.5,8.5
14-Jun-05,73.5,6.5,0,0.01,39.8,64.5,15.5
15-Jun-05,64,16,0,0,24.1,79.5,14
16-Jun-05,66,14,0,0,24.1,60.5,9
17-Jun-05,60.5,19.5,0,0,29.8,68.5,9
18-Jun-05,62,18,0,0,27.5,69,10
19-Jun-05,65,15,0,0,20.6,72.5,6.5
20-Jun-05,69,11,0,0,28.5,68.5,8
21-Jun-05,74.5,5.5,0,0,34.7,59,8.5
22-Jun-05,72,8,0,0,45.4,44.5,8
23-Jun-05,76.5,3.5,0,0,51.5,56.5,8.5
24-Jun-05,86,0,6,0,43.7,54,12.5
25-Jun-05,80,0,0,0,34.1,65.5,9
26-Jun-05,81.5,0,1.5,0,36.6,62.5,8
27-Jun-05,81.5,0,1.5,0,59.8,60.5,8
28-Jun-05,85,0,5,0,66.5,53.5,10
29-Jun-05,81.5,0,1.5,0.02,50.7,63,8
30-Jun-05,81.5,0,1.5,0.02,46.6,59.5,14.5
1-Jul-05,69,11,0,0,32,54,12.5
2-Jul-05,64.5,15.5,0,0,33.5,59,7
3-Jul-05,70,10,0,0,30.9,62.5,8.5
4-Jul-05,77,3,0,0.1,33.8,73.5,16
5-Jul-05,75,5,0,0,29.9,65,9
6-Jul-05,72,8,0,0,47.1,73.5,10.5
7-Jul-05,72.5,7.5,0,0,34.9,61.5,10.5
8-Jul-05,72.5,7.5,0,0,53.7,63,7
9-Jul-05,72,8,0,0,40.8,55.5,8
10-Jul-05,75.5,4.5,0,0,38.8,55,8.5
11-Jul-05,76,4,0,0,43.4,57.5,8.5
12-Jul-05,78.5,1.5,0,0.03,55.4,68.5,14.5
13-Jul-05,79.5,0.5,0,0,65,70.5,14.5
14-Jul-05,79,1,0,0,56.2,67.5,13
15-Jul-05,78.5,1.5,0,0,52.4,67,9
16-Jul-05,80.5,0,0.5,0,47.5,59.5,7
17-Jul-05,83.5,0,3.5,0,46.8,61.5,8
18-Jul-05,83,0,3,0,76.3,62.5,15
19-Jul-05,79,1,0,0,58.7,48.5,9.5
20-Jul-05,77.5,2.5,0,0.6,63.9,70.5,16
21-Jul-05,79,1,0,0,59.3,71.5,10.5
22-Jul-05,75,5,0,0,65,69,7.5
23-Jul-05,73.5,6.5,0,0.03,45.4,77.5,8.5
24-Jul-05,90,0,10,0,42.9,58,13.5
25-Jul-05,80.5,0,0.5,0.49,86.6,69.5,24
26-Jul-05,75,5,0,0.7,74.5,79,13.5
27-Jul-05,65,15,0,0,44.2,65,7.5
28-Jul-05,66,14,0,0,46.1,64,7
29-Jul-05,72,8,0,0,54.7,65,11
30-Jul-05,72.5,7.5,0,0,56.3,63.5,7.5
31-Jul-05,79,1,0,0,49,65,7
1-Aug-05,81,0,1,0,67.7,62,6.5
2-Aug-05,78.5,1.5,0,0,77.2,68,8
3-Aug-05,83.5,0,3.5,0,85.5,64,11.5
4-Aug-05,82,0,2,0,79.1,57,14
5-Aug-05,73,7,0,0,55.8,58.5,7
6-Aug-05,71.5,8.5,0,0,41.6,62,7
7-Aug-05,73.5,6.5,0,0,48.5,63,8.5
8-Aug-05,78,2,0,0,49.7,54,6.5
9-Aug-05,80,0,0,0.2,64,54,17
10-Aug-05,79,1,0,0.02,82.2,65.5,8
11-Aug-05,72,8,0,0.18,57.1,81,8.5
12-Aug-05,78.5,1.5,0,0.46,76.6,75.5,8
13-Aug-05,71.5,8.5,0,0.01,62.2,66,8
14-Aug-05,68.5,11.5,0,0,40.4,68.5,6
15-Aug-05,71,9,0,0,48.9,74,6
16-Aug-05,73.5,6.5,0,0,53.7,66.5,6.5
17-Aug-05,71,9,0,0,59.9,71.5,7
18-Aug-05,76.5,3.5,0,0.25,66.7,77.5,12.5
19-Aug-05,78.5,1.5,0,0,66.9,68,7.5
20-Aug-05,77.5,2.5,0,1.35,53.7,77.5,11
21-Aug-05,73.5,6.5,0,0,51.9,56.5,10.5
22-Aug-05,67,13,0,0,54.9,62,11
23-Aug-05,65.5,14.5,0,0,43.9,63.5,11.5
24-Aug-05,66.5,13.5,0,0,40.8,64.5,9
25-Aug-05,72,8,0,0,54.9,62,7.5
26-Aug-05,74.5,5.5,0,0,57.5,72,6
27-Aug-05,75.5,4.5,0,0,44.5,60.5,10.5
28-Aug-05,75,5,0,0,56.6,57.5,6.5
29-Aug-05,73.5,6.5,0,0,63,63.5,6.5
30-Aug-05,70.5,9.5,0,0,71.1,75.5,10.5
31-Aug-05,71,9,0,0,66.2,66,7.5
1-Sep-05,75.5,4.5,0,0,50.8,51.5,9
2-Sep-05,72,8,0,0,57.8,46.5,10.5
3-Sep-05,69,11,0,0,39.5,57,7
4-Sep-05,70,10,0,0,32.8,60.5,6
5-Sep-05,72.5,7.5,0,0,41.1,63.5,7.5
6-Sep-05,73.5,6.5,0,0,49.6,54.5,7
7-Sep-05,77.5,2.5,0,0.07,66.3,62.5,10.5
8-Sep-05,72,8,0,0,62.3,75.5,7
9-Sep-05,74,6,0,0,57.5,70,8
10-Sep-05,79.5,0.5,0,0,62.1,60,12.5
11-Sep-05,79.5,0.5,0,0,41,58,9
12-Sep-05,79,1,0,0,82.6,55,9
13-Sep-05,82.5,0,2.5,0.01,72.6,53.5,14
14-Sep-05,66.5,13.5,0,0.16,51.9,71,10
15-Sep-05,62,18,0,0.34,46.2,66.5,10
16-Sep-05,62,18,0,0.01,54,76.5,12.5
17-Sep-05,64.5,15.5,0,0,36.7,73,6.5
18-Sep-05,67.5,12.5,0,0,31.8,66,8
19-Sep-05,74.5,5.5,0,0.5,54,78,14
20-Sep-05,69,11,0,0,61.8,67,6.5
21-Sep-05,70,10,0,0,77.1,62,8
22-Sep-05,75,5,0,0.71,88.9,74,11.5
23-Sep-05,64.5,15.5,0,0,54.7,65,14
24-Sep-05,67,13,0,0.13,35.6,75.5,8
25-Sep-05,71,9,0,0.12,46.2,92,8
26-Sep-05,60,20,0,0.02,61.1,80,8
27-Sep-05,60.5,19.5,0,0,47.8,73,6.5
28-Sep-05,61.5,18.5,0,0.59,52.6,78.5,16
29-Sep-05,52.5,27.5,0,0,39.1,57,10.5
30-Sep-05,57.5,22.5,0,0,34.4,49,12
1-Oct-05,65,15,0,0,29,58,9
2-Oct-05,69,11,0,0.94,52.1,75.5,18
3-Oct-05,77.5,2.5,0,0,82.2,69.5,12
4-Oct-05,79,1,0,0,70.1,66,10
5-Oct-05,76.5,3.5,0,0,93.3,67.5,13.5
6-Oct-05,58,22,0,0,65.7,64,15.5
7-Oct-05,48.5,31.5,0,0,58.3,66,16.5
8-Oct-05,48,32,0,0,53,69,12
9-Oct-05,52.5,27.5,0,0,24.1,69.5,10.5
10-Oct-05,53.5,26.5,0,0,54.6,74.5,9
11-Oct-05,57.5,22.5,0,0,59.3,80,8
12-Oct-05,59,21,0,0,57.7,82.5,5
13-Oct-05,60.5,19.5,0,0,48.3,74.5,6
14-Oct-05,62,18,0,0,48.2,63.5,7.5
15-Oct-05,57.5,22.5,0,0,35.6,46.5,13.5
16-Oct-05,52,28,0,0,27.9,65.5,6.5
17-Oct-05,58,22,0,0.05,32.4,69,11
18-Oct-05,58,22,0,0,41.2,57.5,7
19-Oct-05,55.5,24.5,0,0,54.9,64,15
20-Oct-05,50.5,29.5,0,0,39.9,68,10
21-Oct-05,52.5,27.5,0,0,34.8,66.5,11.5
22-Oct-05,46,34,0,0.08,35.1,74,8
23-Oct-05,40,40,0,0.18,27.1,80,9
24-Oct-05,45.5,34.5,0,0.01,69.1,76.5,14.5
25-Oct-05,44.5,35.5,0,0.04,54.8,72.5,11
26-Oct-05,43.5,36.5,0,0,56.5,68.5,9.5
27-Oct-05,44,36,0,0,56.2,73,6
28-Oct-05,44,36,0,0,42.4,66,6
29-Oct-05,44.5,35.5,0,0,36.8,66,8
30-Oct-05,54,26,0,0,31,53.5,14
31-Oct-05,53.5,26.5,0,0.09,45.9,82.5,9
1-Nov-05,47.5,32.5,0,0,45.2,67,9.5
2-Nov-05,52,28,0,0,49.9,53.5,16
3-Nov-05,61.5,18.5,0,0,44.5,47.5,15.5
4-Nov-05,59.5,20.5,0,0,34.7,42.5,12
5-Nov-05,54,26,0,0.3,30.6,86,10
6-Nov-05,50.5,29.5,0,0.46,29.8,77.5,12.5
7-Nov-05,49,31,0,0,42.5,74,11
8-Nov-05,54.5,25.5,0,0.08,48.7,78.5,7.5
9-Nov-05,53.5,26.5,0,0,50,66,20
10-Nov-05,38.5,41.5,0,0,51.7,60,10
11-Nov-05,47,33,0,0,42.7,51.5,8.5
12-Nov-05,54,26,0,0.31,40.3,57,19
13-Nov-05,48.5,31.5,0,0,35.2,63,22
14-Nov-05,38.5,41.5,0,0.1,45.3,73,11.5
15-Nov-05,46,34,0,0.12,48.8,89.5,19.5
16-Nov-05,29,51,0,0,53.2,74.5,23
17-Nov-05,21.5,58.5,0,0,73,53.5,10
18-Nov-05,29.5,50.5,0,0,52.5,66.5,10.5
19-Nov-05,42.5,37.5,0,0,33.4,58.5,10.5
20-Nov-05,38.5,41.5,0,0,28.3,76,10
21-Nov-05,42,38,0,0,44.4,69,16.5
22-Nov-05,31.5,48.5,0,0,65.4,55.5,10.5
23-Nov-05,37,43,0,0.09,60.1,74.5,18
24-Nov-05,28.5,51.5,0,0,32,46,22.5
25-Nov-05,20,60,0,0.06,50.4,63.5,8
26-Nov-05,32,48,0,0,30,55.5,6
27-Nov-05,47.5,32.5,0,0.13,22.2,81,14
28-Nov-05,50,30,0,0.65,26.2,74,22
29-Nov-05,32.5,47.5,0,0.01,42,79,16.5
30-Nov-05,23.5,56.5,0,0,61,69,10
1-Dec-05,24.5,55.5,0,0.02,64,74,12
2-Dec-05,18.5,61.5,0,0,85.3,66,10
3-Dec-05,25,55,0,0.07,67.5,75,10
4-Dec-05,20,60,0,0.02,35.1,77,11.5
5-Dec-05,10.5,69.5,0,0,67.8,68.5,10
6-Dec-05,10.5,69.5,0,0,76.8,69,7.5
7-Dec-05,7.5,72.5,0,0,72.8,68.5,6.5
8-Dec-05,15.5,64.5,0,0.4,104.4,80,8
9-Dec-05,19.5,60.5,0,0,104.2,76.5,13.5
10-Dec-05,22,58,0,0.09,74.9,76,14
11-Dec-05,20,60,0,0.01,56.7,76,10
12-Dec-05,18.5,61.5,0,0,71.5,73.5,8.5
13-Dec-05,25.5,54.5,0,0,100.6,81,10
14-Dec-05,31.5,48.5,0,0.06,86.3,90.5,15
15-Dec-05,29.5,50.5,0,0.02,70.5,85,12.5
16-Dec-05,21,59,0,0.02,73.3,76,18
17-Dec-05,15.5,64.5,0,0,70.9,69,12
18-Dec-05,9.5,70.5,0,0,58.5,68.5,11
19-Dec-05,5,75,0,0,90.4,71,11.5
20-Dec-05,13,67,0,0,97.8,79.5,7.5
21-Dec-05,11.5,68.5,0,0,76.7,79,7.5
22-Dec-05,22,58,0,0,73.2,82.5,9
23-Dec-05,40.5,39.5,0,0,37.1,78.5,9
24-Dec-05,36.5,43.5,0,0.28,28.1,92.5,8
25-Dec-05,34.5,45.5,0,0.03,18.5,87.5,13.5
26-Dec-05,34.5,45.5,0,0,33,81,8.5
27-Dec-05,39.5,40.5,0,0,36.3,80.5,9.5
28-Dec-05,36.5,43.5,0,0.01,41.1,94.5,13.5
29-Dec-05,34.5,45.5,0,0,47.6,85,8
30-Dec-05,35.5,44.5,0,0.33,46.7,87.5,12.5
31-Dec-05,34.5,45.5,0,0,35.9,85,11.5
1-Jan-06,35.5,44.5,0,0.03,31.1,77.5,9
2-Jan-06,41,39,0,0.37,37,94.5,15
3-Jan-06,40.5,39.5,0,0,54,93,8
4-Jan-06,39.5,40.5,0,0.02,41.4,86,10.5
5-Jan-06,34,46,0,0,46.3,78.5,13.5
6-Jan-06,29.5,50.5,0,0,56.7,69.5,10
7-Jan-06,33.5,46.5,0,0,46.2,72,8.5
8-Jan-06,38.5,41.5,0,0,32.5,73.5,13.5
9-Jan-06,35.5,44.5,0,0,36.4,73,10
10-Jan-06,29,51,0,0.05,41.9,76.5,7
11-Jan-06,39.5,40.5,0,0.05,39.6,88,12
12-Jan-06,47.5,32.5,0,0,46.5,68,13
13-Jan-06,40.5,39.5,0,0.67,45.8,79.5,14
14-Jan-06,32.5,47.5,0,0,44.1,62.5,11
15-Jan-06,36,44,0,0,43.9,63,13.5
16-Jan-06,38.5,41.5,0,0,45.1,68,9
17-Jan-06,35,45,0,0,55.3,77.5,13
18-Jan-06,27.5,52.5,0,0,68.5,61.5,15
19-Jan-06,41,39,0,0,43.1,67.5,11.5
20-Jan-06,39,41,0,0.78,34,81,11.5
21-Jan-06,26,54,0,0.04,35.7,84.5,10
22-Jan-06,30,50,0,0,35.3,87.5,6
23-Jan-06,26.5,53.5,0,0,38.3,77.5,14
24-Jan-06,34.5,45.5,0,0,36.9,78,21.5
25-Jan-06,30,50,0,0,47.1,61,17.5
26-Jan-06,30,50,0,0,43.2,64,6.5
27-Jan-06,43,37,0,0,44.2,51.5,14.5
28-Jan-06,42.5,37.5,0,0.48,28.6,77.5,13
29-Jan-06,44.5,35.5,0,0.28,24,89.5,15.5
30-Jan-06,35.5,44.5,0,0.01,36.7,78.5,14
31-Jan-06,34,46,0,0,46,74.5,11
1-Feb-06,39.5,40.5,0,0,50.7,66,11
2-Feb-06,35,45,0,0,46.3,77,6
3-Feb-06,38,42,0,0.49,34.3,83.5,10
4-Feb-06,28.5,51.5,0,0.02,36.6,78.5,15
5-Feb-06,27.5,52.5,0,0,35.8,67,15.5
6-Feb-06,28,52,0,0,46.9,51.5,14
7-Feb-06,26.5,53.5,0,0,41.1,47.5,9
8-Feb-06,25.5,54.5,0,0.02,41.2,63.5,11.5
9-Feb-06,24,56,0,0.02,47.9,64,11.5
10-Feb-06,31,49,0,0,48.9,80.5,7
11-Feb-06,30.5,49.5,0,0.06,35.5,77,10
12-Feb-06,26.5,53.5,0,0,37.6,69,12
13-Feb-06,27.5,52.5,0,0,57.2,62,12
14-Feb-06,40,40,0,0,39.2,60,9
15-Feb-06,37,43,0,0.1,35.6,70,12
16-Feb-06,29.5,50.5,0,1.09,37.8,89,17
17-Feb-06,13.5,66.5,0,0,44.3,59,19
18-Feb-06,0.5,79.5,0,0,50.8,51.5,16.5
19-Feb-06,10.5,69.5,0,0,43.2,57,13
20-Feb-06,22.5,57.5,0,0,53.6,51,13.5
21-Feb-06,28,52,0,0,45.5,61,8.5
22-Feb-06,35,45,0,0,44.4,62,7.5
23-Feb-06,33,47,0,0,43.1,56,14
24-Feb-06,31,49,0,0,43.9,47.5,12
25-Feb-06,31,49,0,0,32.1,49.5,18.5
26-Feb-06,25,55,0,0,35.3,39.5,10.5
27-Feb-06,32.5,47.5,0,0,42,50,9
28-Feb-06,32,48,0,0,37.1,50.5,11
1-Mar-06,36,44,0,0,36.5,51.5,12.5
2-Mar-06,31,49,0,0,40.2,72,13.5
3-Mar-06,28,52,0,0,52.2,65,8
4-Mar-06,31,49,0,0,48.5,57.5,6.5
5-Mar-06,30,50,0,0.3,36.5,76.5,7
6-Mar-06,32,48,0,0.02,54.7,87,8
7-Mar-06,32,48,0,0.15,48.6,66.5,10
8-Mar-06,46,34,0,0.38,44.4,79.5,10
9-Mar-06,48,32,0,0.72,49.3,90,11
10-Mar-06,46,34,0,0,37.1,66.5,12
11-Mar-06,55,25,0,0.06,31.5,72.5,14
12-Mar-06,48,32,0,0.14,27.4,78,11.5
13-Mar-06,46.5,33.5,0,0.47,36.7,73.5,18
14-Mar-06,34.5,45.5,0,0,42.8,56.5,21
15-Mar-06,34,46,0,0,44.3,53,7
16-Mar-06,35,45,0,0.06,36.8,71.5,11.5
17-Mar-06,32,48,0,0,36.3,67,10
18-Mar-06,33,47,0,0,36.3,55,9
19-Mar-06,36.5,43.5,0,0,29.8,50.5,5
20-Mar-06,31,49,0,0,63.2,63.5,14
21-Mar-06,29.5,50.5,0,0,54.8,66,15.5
22-Mar-06,37,43,0,0,49.2,54.5,10.5
23-Mar-06,36.5,43.5,0,0.05,46.8,73.5,6.5
24-Mar-06,35.5,44.5,0,0.07,41.5,77.5,7
25-Mar-06,36.5,43.5,0,0,40.4,70.5,8.5
26-Mar-06,37.5,42.5,0,0,31.4,60.5,7
27-Mar-06,37.5,42.5,0,0.12,40.7,66,8
28-Mar-06,41,39,0,0.07,50,84.5,9
29-Mar-06,42.5,37.5,0,0,43.4,79.5,6.5
30-Mar-06,52.5,27.5,0,0,49.6,66.5,15
31-Mar-06,56.5,23.5,0,0.09,48.2,62.5,20
1-Apr-06,44,36,0,0,46.1,74,12.5
2-Apr-06,49.5,30.5,0,0.68,33,83,11
3-Apr-06,46.5,33.5,0,0.45,58.2,67.5,14.5
4-Apr-06,46,34,0,0,43.4,47.5,15
5-Apr-06,45.5,34.5,0,0,49.4,41,7
6-Apr-06,48.5,31.5,0,0,60.2,68.5,11.5
7-Apr-06,44,36,0,0.02,40.4,83.5,14
8-Apr-06,34.5,45.5,0,0,38.8,70,11.5
9-Apr-06,41.5,38.5,0,0,33.3,60,7
10-Apr-06,52.5,27.5,0,0,43.5,52,9
11-Apr-06,61.5,18.5,0,0.01,38.3,47.5,16
12-Apr-06,67,13,0,0.02,49.2,53,13.5
13-Apr-06,66,14,0,0.05,46.5,48,11.5
14-Apr-06,72,8,0,0.01,36.1,60,7
15-Apr-06,58,22,0,0,41.4,47,9
16-Apr-06,54.5,25.5,0,0.88,26.8,74.5,10.5
17-Apr-06,49,31,0,0.02,55.4,65.5,12.5
18-Apr-06,55.5,24.5,0,0,51.2,56.5,11.5
19-Apr-06,63,17,0,0,63.2,49.5,8.5
20-Apr-06,64,16,0,0.09,51.9,55.5,5
21-Apr-06,57.5,22.5,0,0,51.3,52,6.5
22-Apr-06,57.5,22.5,0,0.04,43.8,59,9
23-Apr-06,56.5,23.5,0,0,30.1,59,13.5
24-Apr-06,56,24,0,0,45.3,63.5,12.5
25-Apr-06,39,41,0,0.08,52,64,15
26-Apr-06,45.5,34.5,0,0,44.3,53.5,6
27-Apr-06,54.5,25.5,0,0,35.8,42.5,8
28-Apr-06,52.5,27.5,0,0,33.1,53,8.5
29-Apr-06,56,24,0,0.31,28.1,61,15.5
30-Apr-06,55.5,24.5,0,0.94,21.4,87,21
1-May-06,56.5,23.5,0,0.27,42.5,87.5,12.5
2-May-06,62,18,0,0.1,45.9,72,7
3-May-06,61.5,18.5,0,0,48.3,68,7
4-May-06,61,19,0,0,46.8,63,6.5
5-May-06,52.5,27.5,0,0,40.9,63,9.5
